Time,Latitude,Longitude,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC,counts
1712962462.06,0,0,0.0,0.0,0.0,23.405781249999997,31.9567334441496,997.2929922708358,133.70816890447367,49300.5,13.0
1712962467.04,0,0,0.0,0.0,0.0,23.19474609375,32.16373730424195,997.2827487137968,133.7945571075521,50367.5,13.2
1712962472.09,0,0,0.0,1.0,1.0,22.9940625,32.500656985896185,997.2829472020217,133.79288316193515,51577.5,14.8
1712962477.11,0,0,0.0,0.5,0.5,22.93693359375,32.756371931014854,997.289375978112,133.73866652158813,52466.0,12.8
1712962482.03,0,0,0.0,0.0,0.0,22.9192578125,33.02180755495918,997.2809594683617,133.80964663338904,53014.0,12.0
1712962487.08,0,0,0.0,0.0,0.0,22.9321484375,33.33367144424078,997.3018721063851,133.63328218270917,54569.0,11.6
1712962492.08,0,0,0.0,1.0,1.0,22.98166015625,33.280589661333075,997.2972092938005,133.67260519763383,55453.5,15.2
1712962497.06,0,0,0.0,1.0,1.0,22.9079296875,33.107012696315884,997.2905440112486,133.72881602490116,56559.0,10.6
1712962502.07,0,0,0.0,1.0,1.0,22.87794921875,33.08704723498444,997.2838539320663,133.78523645228518,57273.5,15.0
1712962507.05,0,0,0.0,0.0,0.0,22.842109375,33.147060182931696,997.2544835823151,134.03293260099986,57927.0,12.8
1712962512.08,0,0,0.0,0.0,0.0,22.65705078125,33.28562256291394,997.2243219708856,134.2873080681793,59009.5,10.2
1712962517.06,0,0,1.0,1.0,1.0,22.525507812500003,33.54437805188733,997.2327829325559,134.21594975040355,58801.5,14.2
1712962522.06,0,0,1.0,1.0,1.0,22.426875,34.2517252261547,997.246127588229,134.10340425725587,59895.5,12.0
1712962527.04,0,0,1.0,1.0,1.0,22.42072265625,34.381509006819925,997.263719206772,133.95504280294438,60457.5,13.2
1712962532.03,0,0,1.0,2.0,2.0,22.43595703125,34.42930553257672,997.2674713167703,133.92339915776,61119.5,11.6
1712962537.12,0,0,1.0,2.0,2.0,22.4758984375,34.53163703852775,997.2824442518629,133.79712477745522,62139.5,16.0
1712962542.03,0,0,1.0,2.0,2.0,22.48205078125,34.44809804588759,997.296523469041,133.67838899135143,62957.5,15.4
1712962547.06,0,0,1.0,2.0,2.0,22.46525390625,34.57416741279445,997.2975864448232,133.6694245804681,63362.0,11.6
1712962552.04,0,0,1.0,2.0,2.0,22.479999999999997,34.67134490166053,997.292433665396,133.71287991534834,64015.0,13.4
1712962557.04,0,0,1.0,2.0,2.0,22.38830078125,34.59308896410133,997.2902770832693,133.73106718333977,64485.0,12.0
1712962562.09,0,0,1.0,2.0,2.0,22.33361328125,34.37630424710363,997.2551005114938,134.02772955070577,65621.0,11.0
1712962567.03,0,0,1.0,2.0,3.0,22.32892578125,34.416438793607156,997.2622958711947,133.9670466314248,65826.5,11.2
1712962572.06,0,0,0.5,1.5,2.5,22.297578125,34.37005696397162,997.2642688854389,133.95040704638018,66771.5,13.8
1712962577.04,0,0,0.0,1.0,2.0,22.2411328125,34.43435776091127,997.2453443911389,134.1100095099811,67012.0,11.4
1712962582.05,0,0,0.0,2.0,3.0,22.197578125,34.54046645472138,997.2527661101171,134.04741710691644,67607.0,13.4
1712962587.06,0,0,0.0,2.0,3.0,22.21271484375,34.689863095421885,997.2599983521159,133.9864229932958,68212.5,11.6
1712962592.03,0,0,0.0,1.0,1.0,22.245624999999997,34.68423271716371,997.253227204963,134.0435283581739,68716.0,9.6
1712962597.06,0,0,0.0,1.0,1.0,22.18810546875,34.853124303436786,997.2461910636337,134.10286892219955,68857.0,11.4
1712962602.06,0,0,0.5,1.5,2.5,22.11564453125,35.09059296083396,997.2493941153239,134.07585536706142,69486.0,13.2
1712962607.03,0,0,1.0,2.0,3.0,22.088203125,35.13748550826881,997.2528851014962,134.04641354241483,70008.5,13.8
1712962612.07,0,0,1.0,2.0,3.0,22.101191406250003,35.121246870864596,997.2576897056972,134.00589334127358,70629.5,13.0
1712962617.05,0,0,1.0,2.0,3.0,22.05568359375,35.21885700074802,997.2285858402657,134.25134722731877,71018.0,13.2
1712962622.12,0,0,0.5,1.5,2.0,21.995136718749997,35.16362953047032,997.2602078546404,133.98465614907752,71810.0,13.8
1712962627.15,0,0,1.0,2.0,2.0,21.939570312500003,35.193319151005966,997.2805595686682,133.8130191664589,72337.0,13.0
1712962632.03,0,0,1.0,2.0,2.0,21.8503125,35.278072231734924,997.2756535153942,133.8543943512272,72967.0,15.0
