Time,Temperature,Gas,Humidity,Pressure,Altitude,PM1.0,PM2.5,PM10
1708126153.1642203,18.92296875,52997,43.457423617151264,1008.0193506302022,43.640030700463996,1,2,2
1708126154.1747947,18.9253125,54409,43.44005021111087,1008.0197280369622,43.636875336116255,1,2,2
1708126155.186423,18.9262890625,55749,43.393129541154096,1008.0230457316038,43.60913730660544,1,2,2
1708126156.197945,18.927265625,57001,43.35209849401984,1008.0091245999664,43.72552728408982,1,2,2
1708126157.209565,18.9286328125,58148,43.328748571334344,1008.0061842521231,43.7501107264257,1,2,2
1708126158.2208993,18.93234375,59134,43.34092253116986,1008.0001733716205,43.80036623133771,1,2,2
1708126159.2322485,18.9348828125,60545,43.41762177912758,1007.9991454673873,43.808960312064045,1,2,2
1708126160.2436197,18.93234375,61750,43.47613367749064,1007.996725580563,43.829192480434564,1,2,2
1708126161.2549515,18.9313671875,62768,43.47602242424054,1007.995131816587,43.842517629681495,1,2,2
1708126162.2662826,18.92765625,64015,43.44031703208303,1007.9942471671928,43.849914017800955,1,2,2
1708126163.2776036,18.917890625,65009,43.41568816048882,1007.9886526418945,43.896688919150705,1,2,2
1708126164.288997,18.9055859375,65930,43.36138796710756,1007.9892569527378,43.891636365946205,1,2,2
1708126165.3003986,18.89171875,66825,43.30105521293402,1007.9580060673136,44.152923593665314,1,2,2
1708126166.3117943,18.87921875,67689,43.27026641936284,1007.9410532102056,44.294668403057784,1,2,2
1708126167.3231025,18.863203125,68576,43.250830808310646,1007.9252575542437,44.4267394563435,1,2,2
1708126168.3345137,18.8438671875,69486,43.21340778846336,1007.9161082442138,44.503239674037175,1,2,2
1708126169.34586,18.82375,70244,43.17003744410986,1007.9125771592372,44.532764320637476,1,2,2
1708126170.3571582,18.7973828125,71078,43.10837219484563,1007.9022907671642,44.618772949243144,1,2,2
1708126171.3684876,18.7675,71810,43.01701720614446,1007.8862640337646,44.75278027856119,1,2,2
1708126172.3798807,18.7411328125,72619,42.937837316258005,1007.8570157773111,44.99734365390097,1,2,2
1708126173.3911316,18.7165234375,73126,42.88818996423989,1007.8358058140335,45.1746973145098,1,2,2
1708126174.4024692,18.6915234375,73901,42.873661547196434,1007.8070641960813,45.415034055010786,1,2,2
1708126175.4138346,18.6665234375,74691,42.84742181170533,1007.7765988417734,45.66979069793624,1,2,2
1708126176.4251125,18.64015625,75228,42.80932405429864,1007.7456246713872,45.928808543230595,1,2,2
1708126177.4364016,18.607734375,76117,42.77641309098692,1007.7133826489229,46.19843549939647,1,2,2
1708126178.4478233,18.5762890625,76534,42.74947444856716,1007.6844560738957,46.44034265810422,1,2,2
1708126179.4591131,18.5471875,77454,42.740361140496496,1007.6731363174206,46.53500904708882,1,2,2
1708126180.4704764,18.5157421875,78105,42.71928469779204,1007.6510970145823,46.719324777138986,1,2,2
1708126181.4818006,18.483515625,78766,42.70397633141536,1007.6191667675665,46.98636473063149,1,2,2
1708126182.4931204,18.4571484375,78471,42.72442784021363,1007.5864636891615,47.25987515234962,1,2,2
1708126183.5043883,18.429609375,79138,42.80327272375692,1007.555292431905,47.520580961886346,1,2,2
1708126184.5157642,18.4028515625,79665,42.88223715888099,1007.5202282909521,47.81385333374545,1,2,2
1708126185.5271072,18.37453125,80353,42.93176861248272,1007.4912253825806,48.05643651050513,1,2,2
1708126186.538402,18.345625,80585,42.94023837818863,1007.449208822196,48.407877181490754,1,2,2
1708126187.5496838,18.3157421875,81368,42.93688431232873,1007.419376152396,48.657414890341045,1,2,2
1708126188.56032,18.284296875,81845,42.96264216632301,1007.4076575506856,48.75543769120538,1,2,2
1708126189.5719984,18.2555859375,82408,42.97113514445422,1007.3935109572102,48.87377118896088,1,2,2
1708126190.5836055,18.2235546875,82980,42.990971975412336,1007.3894397005606,48.907826706823386,1,2,2
1708126191.5952592,18.192109375,83393,42.98158510382703,1007.3742674888322,49.03474121208829,1,2,2
1708126192.6067567,18.1633984375,83894,42.97250703129041,1007.351503459872,49.225163648355704,1,2,2
1708126193.6183012,18.137421875,84147,42.9930228681925,1007.3280364195062,49.4214704635876,1,2,2
1708126194.628993,18.1102734375,84572,43.0192670161269,1007.3043768359191,49.619391692748685,1,2,2
1708126195.6406019,18.08234375,85088,43.05128532468346,1007.2725541112871,49.88560657358674,1,2,2
